Outcome,SurgeryTypeName,followup_period,n,mean,sd,se,lower,upper,OutcomeLabel,period_index
ASM,SG,Pre,555,28.880991040478957,8.578795316308293,0.3641495808862935,28.16725786194182,29.594724219016094,Appendicular skeletal muscle mass (kg),1
ASM,SG,0–1m,126,25.997698367588104,6.3112476370486545,0.5622506271648258,24.895687138345046,27.09970959683116,Appendicular skeletal muscle mass (kg),2
ASM,SG,1–6m,695,25.17833092915926,6.743476987182605,0.2557946621316644,24.676973391381196,25.67968846693732,Appendicular skeletal muscle mass (kg),3
ASM,SG,6–12m,356,24.09286514292942,5.691492703144959,0.3016485099702662,23.501634063387698,24.68409622247114,Appendicular skeletal muscle mass (kg),4
ASM,SG,12–24m,188,22.900478733346816,4.734082662981526,0.34526846369306513,22.223752544508407,23.577204922185224,Appendicular skeletal muscle mass (kg),5
ASM,SG,>24m,127,22.732677099272962,4.369371850543706,0.38771905536394885,21.972747750759623,23.4926064477863,Appendicular skeletal muscle mass (kg),6
ASM,OAGB,Pre,1382,27.261823442323852,7.416825253225907,0.19950970444696747,26.870784421607794,27.65286246303991,Appendicular skeletal muscle mass (kg),1
ASM,OAGB,0–1m,316,26.653164543683015,6.897190848995666,0.38799729872913574,25.892689838173908,27.413639249192123,Appendicular skeletal muscle mass (kg),2
ASM,OAGB,1–6m,1623,23.885218731356638,6.242685748368362,0.15495736172009275,23.581502302385257,24.18893516032802,Appendicular skeletal muscle mass (kg),3
ASM,OAGB,6–12m,910,23.617175857837385,5.6359182582565985,0.186828871023932,23.25099127063048,23.98336044504429,Appendicular skeletal muscle mass (kg),4
ASM,OAGB,12–24m,487,22.986632415646156,4.8306488175477815,0.2188975926189346,22.557593134113045,23.415671697179267,Appendicular skeletal muscle mass (kg),5
ASM,OAGB,>24m,442,22.76450226209822,5.333703313632508,0.25369839505060787,22.26725340779903,23.26175111639741,Appendicular skeletal muscle mass (kg),6
ASM,RYGB,Pre,238,26.499789867080562,5.352033104881469,0.346920778715862,25.819825140797473,27.17975459336365,Appendicular skeletal muscle mass (kg),1
ASM,RYGB,0–1m,84,24.74880958738781,3.920735520742444,0.42778731675486553,23.910346446548274,25.587272728227347,Appendicular skeletal muscle mass (kg),2
ASM,RYGB,1–6m,269,24.119442386698104,5.225637930654479,0.3186127678624354,23.494961361687732,24.743923411708476,Appendicular skeletal muscle mass (kg),3
ASM,RYGB,6–12m,216,22.13759265564106,3.149270217866575,0.21428069710879777,21.71760248930782,22.557582821974304,Appendicular skeletal muscle mass (kg),4
ASM,RYGB,12–24m,134,21.674626834356964,3.824764712094507,0.3304093470056226,21.027024514225943,22.322229154487985,Appendicular skeletal muscle mass (kg),5
ASM,RYGB,>24m,122,21.638688493947512,3.5993366094176986,0.32586862519178045,20.999985988571623,22.2773909993234,Appendicular skeletal muscle mass (kg),6
BMI,SG,Pre,555,44.476720719346055,6.029403504684492,0.25593392525071224,43.97509022585466,44.97835121283745,BMI (kg/m²),1
