Outcome,followup_period,SurgeryTypeName,emmean,SE,df,lower,upper,OutcomeLabel,period_index
Weight,Pre,SG,126.25844300122692,0.8955174307078153,Inf,124.50326108951177,128.01362491294208,Weight (kg),1
Weight,0–1m,SG,115.46425392981354,1.1275017232582432,Inf,113.25439115972054,117.67411669990653,Weight (kg),2
Weight,1–6m,SG,106.10359107557574,0.8886920114864725,Inf,104.36178673971379,107.84539541143768,Weight (kg),3
Weight,6–12m,SG,91.0504136598731,0.9484752846009715,Inf,89.19143626182881,92.90939105791739,Weight (kg),4
Weight,12–24m,SG,87.24756422105088,1.0522625406893358,Inf,85.18516753901918,89.30996090308258,Weight (kg),5
Weight,>24m,SG,94.54565250238484,1.1527508715372372,Inf,92.2863023110247,96.80500269374498,Weight (kg),6
Weight,Pre,OAGB,127.02003397085157,0.6993793034719268,Inf,125.64927572451388,128.39079221718924,Weight (kg),1
Weight,0–1m,OAGB,117.62046784560577,0.8175583863108141,Inf,116.01808285317789,119.22285283803366,Weight (kg),2
Weight,1–6m,OAGB,107.82438155821625,0.6966961326177755,Inf,106.45888223011707,109.18988088631542,Weight (kg),3
Weight,6–12m,OAGB,91.38688494083956,0.7243788526498801,Inf,89.96712847848336,92.80664140319577,Weight (kg),4
Weight,12–24m,OAGB,84.12156201030699,0.7781576380748166,Inf,82.59640106538559,85.64672295522838,Weight (kg),5
Weight,>24m,OAGB,86.82173302712107,0.7993060093651692,Inf,85.2551220361389,88.38834401810324,Weight (kg),6
Weight,Pre,RYGB,126.26368838887579,1.2538354951491706,Inf,123.80621597584548,128.7211608019061,Weight (kg),1
Weight,0–1m,RYGB,116.57265244811865,1.4568334511226988,Inf,113.71731135244497,119.42799354379233,Weight (kg),2
Weight,1–6m,RYGB,106.39400186596458,1.2523819468707105,Inf,103.93937835520984,108.84862537671933,Weight (kg),3
Weight,6–12m,RYGB,92.0005742566101,1.2832092880869619,Inf,89.48553026733236,94.51561824588782,Weight (kg),4
Weight,12–24m,RYGB,85.72702548414121,1.3620152280374926,Inf,83.05752469079262,88.3965262774898,Weight (kg),5
Weight,>24m,RYGB,91.14640746755379,1.3976603622614299,Inf,88.40704349490218,93.88577144020539,Weight (kg),6
BMI,Pre,SG,44.651091279083225,0.29479984538757015,Inf,44.07329419947561,45.22888835869084,BMI (kg/m²),1
BMI,0–1m,SG,40.85668772859582,0.38516272616519526,Inf,40.10178265712478,41.611592800066866,BMI (kg/m²),2
BMI,1–6m,SG,37.40939002695456,0.29199453943329556,Inf,36.83709124598294,37.98168880792618,BMI (kg/m²),3
BMI,6–12m,SG,31.828209430396864,0.3156765772199875,Inf,31.20949470828281,32.44692415251092,BMI (kg/m²),4
BMI,12–24m,SG,30.274935262292104,0.3561813281830395,Inf,29.576832687087705,30.973037837496502,BMI (kg/m²),5
BMI,>24m,SG,33.07638139310034,0.3948431441485615,Inf,32.302503051026605,33.85025973517408,BMI (kg/m²),6
BMI,Pre,OAGB,45.06611368092274,0.22933789176804512,Inf,44.61661967276703,45.51560768907845,BMI (kg/m²),1
BMI,0–1m,OAGB,41.63409820162108,0.27581962652087516,Inf,41.09350166741088,42.17469473583128,BMI (kg/m²),2
BMI,1–6m,OAGB,38.00402594544052,0.2282299443173611,Inf,37.55670347438491,38.451348416496124,BMI (kg/m²),3
BMI,6–12m,OAGB,31.868052412281695,0.23924854661449324,Inf,31.399133877563738,32.33697094699966,BMI (kg/m²),4
BMI,12–24m,OAGB,29.078643038470346,0.26044764906085777,Inf,28.568175026452938,29.589111050487755,BMI (kg/m²),5
BMI,>24m,OAGB,30.151887680142377,0.26867108640414616,Inf,29.625302027103,30.678473333181753,BMI (kg/m²),6
BMI,Pre,RYGB,44.72297882559783,0.41360848550472595,Inf,43.91232109030841,45.533636560887246,BMI (kg/m²),1
BMI,0–1m,RYGB,41.05903412022209,0.49319678652024673,Inf,40.092386181351515,42.02568205909266,BMI (kg/m²),2
BMI,1–6m,RYGB,37.135246168270214,0.41292248489934835,Inf,36.32593296946071,37.94455936707972,BMI (kg/m²),3
BMI,6–12m,RYGB,31.653558126137913,0.4251246799021001,Inf,30.820329064590677,32.486787187685145,BMI (kg/m²),4
BMI,12–24m,RYGB,29.209478065800184,0.4561924504029301,Inf,28.315357292991365,30.103598838609003,BMI (kg/m²),5
BMI,>24m,RYGB,31.349261905373808,0.4700531509620791,Inf,30.427974658668564,32.27054915207905,BMI (kg/m²),6
TWL,Pre,SG,0.8361359538472859,0.3191053872664413,Inf,0.21070088753235472,1.461571020162217,Total weight loss (%),1
TWL,0–1m,SG,9.151061150285186,0.5725561870379835,Inf,8.02887164456516,10.273250656005212,Total weight loss (%),2
TWL,1–6m,SG,16.869063468870586,0.3039666866947221,Inf,16.27329971044896,17.46482722729221,Total weight loss (%),3
TWL,6–12m,SG,29.087558535340488,0.38134369093860776,Inf,28.340138635369243,29.834978435311733,Total weight loss (%),4
TWL,12–24m,SG,32.66985555078873,0.49547094067056036,Inf,31.69875035168825,33.64096074988921,Total weight loss (%),5
TWL,>24m,SG,27.025233928972977,0.5937378934632626,Inf,25.861529041528303,28.18893881641765,Total weight loss (%),6
TWL,Pre,OAGB,0.9462254253491879,0.23383332105592253,Inf,0.4879205376941883,1.4045303130041873,Total weight loss (%),1
TWL,0–1m,OAGB,9.028187982255766,0.37636693175098257,Inf,8.290522351051996,9.765853613459536,Total weight loss (%),2
TWL,1–6m,OAGB,16.610400481330164,0.22740726110000845,Inf,16.16469043975125,17.056110522909076,Total weight loss (%),3
TWL,6–12m,OAGB,30.413299315534907,0.2653814037919118,Inf,29.893161321936077,30.933437309133737,Total weight loss (%),4
TWL,12–24m,OAGB,36.288534923627076,0.33128711105728154,Inf,35.63922411741248,36.93784572984167,Total weight loss (%),5
TWL,>24m,OAGB,34.07879486485142,0.35176451813669857,Inf,33.3893490782644,34.76824065143843,Total weight loss (%),6
TWL,Pre,RYGB,0.5202270275228259,0.4609418067975684,Inf,-0.3832023127692279,1.4236563678148797,Total weight loss (%),1
TWL,0–1m,RYGB,8.939993305905862,0.6968681690713111,Inf,7.574156792553723,10.305829819258001,Total weight loss (%),2
TWL,1–6m,RYGB,17.408010048190647,0.4515559506264937,Inf,16.52297664795797,18.293043448423322,Total weight loss (%),3
TWL,6–12m,RYGB,30.027464076024135,0.49011381777825747,Inf,29.066858644853323,30.988069507194947,Total weight loss (%),4
TWL,12–24m,RYGB,35.36603502547887,0.5876503078311057,Inf,34.21426158662603,36.517808464331715,Total weight loss (%),5
TWL,>24m,RYGB,30.072189721051917,0.6229933999278789,Inf,28.851145094587118,31.293234347516716,Total weight loss (%),6
FATP,Pre,SG,44.635387613774654,0.33835214250996326,Inf,43.972229600363164,45.298545627186144,Body fat percentage (%),1
